CPI,CPI VAR,CPI LSTM,CPI VECM,URATE,URATE VAR,URATE LSTM,URATE VECM
8.48213,9.310485526,8.407601611,9.156130163,3.5,2.722691112,3.453223041,2.620303712
8.24923,8.995609546,8.296176876,8.732077556,3.7,3.257514233,3.281215081,2.953932492
8.22241,9.535572181,8.197900386,8.956719276,3.5,2.829136523,3.195296311,2.773103054
7.76312,9.8946397,8.118841671,8.75038947,3.7,3.126163609,3.113484443,2.969247844
7.13,9.875384539,8.048383598,8.06410835,3.6,2.680624014,3.09793644,2.918596689
6.44,9.80498314,7.988113285,7.708118319,3.5,2.803488726,3.090009774,3.340397275
7.52593,7.383081093,7.397438357,7.315509661,4,3.798012598,4.129739035,3.909078707
7.91202,7.735728527,7.815456455,7.450179351,3.8,3.647547507,4.108998241,3.810129564
8.55759,8.089774871,8.100884839,7.392026213,3.6,3.222564079,4.02565079,3.733196514
8.22414,8.16340896,8.304941708,6.778862971,3.6,3.428592208,3.928153192,4.96391087
8.51641,8.070607799,8.462484736,6.18141619,3.6,3.826494548,3.837134087,5.342408938
8.99522,8.189434122,8.586425032,6.106786841,3.6,3.657062936,3.759526421,4.662009618
8.48213,8.357542491,8.695975812,6.194677082,3.5,3.317422594,3.708696466,4.297492244
8.24923,8.40289595,8.792469349,6.185243681,3.7,2.850826717,3.680632281,4.050127801
8.22241,8.721090052,8.874205595,6.378731037,3.5,2.085349664,3.671295264,3.939185372
7.76312,8.850594055,8.941722818,6.152542125,3.7,2.068857693,3.682634663,4.138849448
7.13,8.927860583,8.989044059,5.834299442,3.6,1.43329241,3.693556934,4.117461316
6.44,9.073426487,9.016958452,5.789772632,3.5,1.173229029,3.716866171,4.196340861
7.76312,8.057031016,8.392138339,7.941603856,3.7,3.770496396,3.406652822,3.651849414
7.13,7.241990816,8.272235682,7.012166482,3.6,4.040386657,3.321422318,3.953646787
6.44,6.699715811,8.143416258,6.589945909,3.5,4.089795025,3.246651248,4.317230288
8.22414,8.580822811,7.98352614,7.560281906,3.6,4.581708206,3.785047991,2.714927577
8.51641,8.342597105,8.016893229,6.859119867,3.6,5.162297886,3.664038465,2.374940004
8.99522,7.987659158,8.005070834,6.640587694,3.6,4.846681683,3.46756593,1.354274885
8.48213,7.834466045,7.972722434,6.298505584,3.5,3.73151184,3.33898113,1.785936411
8.24923,7.260739573,7.919705546,6.646220665,3.7,3.29442364,3.235984699,1.665289617
8.22241,7.193681396,7.849407479,6.60572569,3.5,2.844210375,3.144647038,2.191170847
7.76312,7.13387239,7.765902988,6.129086532,3.7,3.045223498,3.065028144,2.497437377
7.13,6.756708341,7.67568477,5.863185365,3.6,3.290755354,2.97287446,2.959877225
6.44,6.451639279,7.586507771,5.61534238,3.5,3.36874098,2.902603994,3.817396398
